received_at_utc,source_ip,node_id,boot_id,sequence,first_sample_index,sample_count,sample_rate_hz,temperature_c
2026-07-18T00:26:36.778Z,usb,1,848316260,36579,9364224,256,6000,33.500
2026-07-18T00:26:36.820Z,usb,1,848316260,36580,9364480,256,6000,33.500
2026-07-18T00:26:36.862Z,usb,1,848316260,36581,9364736,256,6000,33.500
2026-07-18T00:26:36.905Z,usb,1,848316260,36582,9364992,256,6000,33.500
2026-07-18T00:26:36.947Z,usb,1,848316260,36583,9365248,256,6000,33.500
2026-07-18T00:26:36.990Z,usb,1,848316260,36584,9365504,256,6000,33.500
2026-07-18T00:26:37.033Z,usb,1,848316260,36585,9365760,256,6000,33.500
2026-07-18T00:26:37.075Z,usb,1,848316260,36586,9366016,256,6000,33.500
2026-07-18T00:26:37.118Z,usb,1,848316260,36587,9366272,256,6000,33.500
2026-07-18T00:26:37.160Z,usb,1,848316260,36588,9366528,256,6000,33.500
2026-07-18T00:26:37.202Z,usb,1,848316260,36589,9366784,256,6000,33.500
2026-07-18T00:26:37.245Z,usb,1,848316260,36590,9367040,256,6000,33.500
2026-07-18T00:26:37.288Z,usb,1,848316260,36591,9367296,256,6000,33.500
2026-07-18T00:26:37.330Z,usb,1,848316260,36592,9367552,256,6000,33.500
2026-07-18T00:26:37.373Z,usb,1,848316260,36593,9367808,256,6000,33.500
2026-07-18T00:26:37.415Z,usb,1,848316260,36594,9368064,256,6000,33.500
2026-07-18T00:26:37.458Z,usb,1,848316260,36595,9368320,256,6000,33.500
2026-07-18T00:26:37.500Z,usb,1,848316260,36596,9368576,256,6000,33.500
2026-07-18T00:26:37.543Z,usb,1,848316260,36597,9368832,256,6000,33.500
2026-07-18T00:26:37.585Z,usb,1,848316260,36598,9369088,256,6000,33.500
2026-07-18T00:26:37.628Z,usb,1,848316260,36599,9369344,256,6000,33.500
2026-07-18T00:26:37.670Z,usb,1,848316260,36600,9369600,256,6000,33.500
2026-07-18T00:26:37.713Z,usb,1,848316260,36601,9369856,256,6000,33.500
2026-07-18T00:26:37.755Z,usb,1,848316260,36602,9370112,256,6000,33.500
2026-07-18T00:26:37.798Z,usb,1,848316260,36603,9370368,256,6000,33.500
2026-07-18T00:26:37.841Z,usb,1,848316260,36604,9370624,256,6000,33.500
2026-07-18T00:26:37.883Z,usb,1,848316260,36605,9370880,256,6000,33.500
2026-07-18T00:26:37.930Z,usb,1,848316260,36606,9371136,256,6000,33.500
2026-07-18T00:26:37.968Z,usb,1,848316260,36607,9371392,256,6000,33.500
2026-07-18T00:26:38.011Z,usb,1,848316260,36608,9371648,256,6000,33.500
2026-07-18T00:26:38.053Z,usb,1,848316260,36609,9371904,256,6000,33.500
2026-07-18T00:26:38.096Z,usb,1,848316260,36610,9372160,256,6000,33.500
2026-07-18T00:26:38.138Z,usb,1,848316260,36611,9372416,256,6000,33.500
2026-07-18T00:26:38.181Z,usb,1,848316260,36612,9372672,256,6000,33.500
2026-07-18T00:26:38.223Z,usb,1,848316260,36613,9372928,256,6000,33.500
2026-07-18T00:26:38.266Z,usb,1,848316260,36614,9373184,256,6000,33.500
2026-07-18T00:26:38.308Z,usb,1,848316260,36615,9373440,256,6000,33.500
2026-07-18T00:26:38.351Z,usb,1,848316260,36616,9373696,256,6000,33.500
2026-07-18T00:26:38.393Z,usb,1,848316260,36617,9373952,256,6000,33.500
2026-07-18T00:26:38.436Z,usb,1,848316260,36618,9374208,256,6000,33.500
2026-07-18T00:26:38.478Z,usb,1,848316260,36619,9374464,256,6000,33.500
2026-07-18T00:26:38.521Z,usb,1,848316260,36620,9374720,256,6000,33.500
2026-07-18T00:26:38.563Z,usb,1,848316260,36621,9374976,256,6000,33.500
2026-07-18T00:26:38.606Z,usb,1,848316260,36622,9375232,256,6000,33.500
2026-07-18T00:26:38.648Z,usb,1,848316260,36623,9375488,256,6000,33.500
2026-07-18T00:26:38.691Z,usb,1,848316260,36624,9375744,256,6000,33.500
2026-07-18T00:26:38.733Z,usb,1,848316260,36625,9376000,256,6000,33.500
2026-07-18T00:26:38.776Z,usb,1,848316260,36626,9376256,256,6000,33.500
2026-07-18T00:26:38.819Z,usb,1,848316260,36627,9376512,256,6000,33.500
2026-07-18T00:26:38.861Z,usb,1,848316260,36628,9376768,256,6000,33.500
2026-07-18T00:26:38.904Z,usb,1,848316260,36629,9377024,256,6000,33.500
2026-07-18T00:26:38.947Z,usb,1,848316260,36630,9377280,256,6000,33.500
2026-07-18T00:26:38.989Z,usb,1,848316260,36631,9377536,256,6000,33.500
2026-07-18T00:26:39.031Z,usb,1,848316260,36632,9377792,256,6000,33.500
2026-07-18T00:26:39.074Z,usb,1,848316260,36633,9378048,256,6000,33.500
2026-07-18T00:26:39.117Z,usb,1,848316260,36634,9378304,256,6000,33.500
2026-07-18T00:26:39.159Z,usb,1,848316260,36635,9378560,256,6000,33.500
2026-07-18T00:26:39.202Z,usb,1,848316260,36636,9378816,256,6000,33.500
2026-07-18T00:26:39.244Z,usb,1,848316260,36637,9379072,256,6000,33.500
2026-07-18T00:26:39.287Z,usb,1,848316260,36638,9379328,256,6000,33.500
2026-07-18T00:26:39.329Z,usb,1,848316260,36639,9379584,256,6000,33.500
2026-07-18T00:26:39.372Z,usb,1,848316260,36640,9379840,256,6000,33.500
2026-07-18T00:26:39.414Z,usb,1,848316260,36641,9380096,256,6000,33.500
2026-07-18T00:26:39.457Z,usb,1,848316260,36642,9380352,256,6000,33.500
2026-07-18T00:26:39.499Z,usb,1,848316260,36643,9380608,256,6000,33.500
2026-07-18T00:26:39.542Z,usb,1,848316260,36644,9380864,256,6000,33.500
2026-07-18T00:26:39.584Z,usb,1,848316260,36645,9381120,256,6000,33.500
2026-07-18T00:26:39.627Z,usb,1,848316260,36646,9381376,256,6000,33.500
2026-07-18T00:26:39.669Z,usb,1,848316260,36647,9381632,256,6000,33.500
2026-07-18T00:26:39.712Z,usb,1,848316260,36648,9381888,256,6000,33.500
2026-07-18T00:26:39.754Z,usb,1,848316260,36649,9382144,256,6000,33.500
2026-07-18T00:26:39.797Z,usb,1,848316260,36650,9382400,256,6000,33.500
2026-07-18T00:26:39.840Z,usb,1,848316260,36651,9382656,256,6000,33.500
2026-07-18T00:26:39.882Z,usb,1,848316260,36652,9382912,256,6000,33.500
